id,systemCode,name,chamber,type,activityName,activityDate
hr158,hsha00,Committee on House Administration,House,Standing,Referred to,2023-01-09 22:08:25+00:00
hr1580,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-14 20:05:40+00:00
hr1582,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-14 20:02:40+00:00
hr1583,hsha00,Committee on House Administration,House,Standing,Referred to,2023-03-14 20:00:40+00:00
hr1583,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-14 20:00:35+00:00
hr1585,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-14 20:05:30+00:00
hr1587,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-14 20:01:45+00:00
hr1587,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-14 20:01:40+00:00
hr1588,hsii00,Natural Resources Committee,House,Standing,Referred to,2023-03-14 20:01:20+00:00
hr1588,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-14 20:01:15+00:00
hr1588,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-14 20:01:10+00:00
hr1589,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-14 20:02:45+00:00
hr159,ssga00,Homeland Security and Governmental Affairs Committee,Senate,Standing,Referred to,2023-01-25 19:16:58+00:00
hr159,hsbu00,Budget Committee,House,Standing,Referred to,2023-01-09 22:24:40+00:00
hr159,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-01-09 22:24:35+00:00
hr1591,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-14 20:04:50+00:00
hr1593,hsii00,Natural Resources Committee,House,Standing,Referred to,2023-03-14 20:01:30+00:00
hr1594,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-14 20:03:35+00:00
hr1595,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-14 20:05:20+00:00
hr1596,hsba00,Financial Services Committee,House,Standing,Referred to,2023-03-14 20:05:05+00:00
hr1597,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-14 20:04:30+00:00
hr1598,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-14 20:02:50+00:00
hr1599,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-14 20:03:00+00:00
hr16,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-06-15 13:00:10+00:00
hr16,hsju00,Judiciary Committee,House,Standing,Referred to,2023-06-15 13:00:05+00:00
hr160,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-01-09 22:25:10+00:00
hr1600,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-14 20:03:20+00:00
hr1601,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-14 20:04:10+00:00
hr1602,hsba00,Financial Services Committee,House,Standing,Referred to,2023-03-14 20:06:00+00:00
hr1606,sssb00,Small Business and Entrepreneurship Committee,Senate,Standing,Referred to,2023-06-21 16:40:17+00:00
hr1606,hssm00,Small Business Committee,House,Standing,Reported by,2023-06-05 22:28:56+00:00
hr1606,hssm00,Small Business Committee,House,Standing,Markup by,2023-05-23 14:34:00+00:00
hr1606,hssm00,Small Business Committee,House,Standing,Referred to,2023-03-14 20:03:25+00:00
hr1607,sseg00,Energy and Natural Resources Committee,Senate,Standing,Referred to,2023-11-07 17:10:29+00:00
hr161,hsas00,Armed Services Committee,House,Standing,Referred to,2023-01-09 22:24:50+00:00
hr161,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-01-09 22:24:45+00:00
hr1610,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-14 20:02:05+00:00
hr1612,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-14 20:03:40+00:00
hr1617,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-17 15:05:35+00:00
hr1618,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-17 15:05:40+00:00
hr1619,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-17 15:03:30+00:00
hr162,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-01-09 22:12:35+00:00
hr1620,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-17 15:03:00+00:00
hr1622,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-17 15:04:20+00:00
hr1622,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-17 15:04:15+00:00
hr1625,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-03-17 15:04:45+00:00
hr1626,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-17 15:06:40+00:00
hr1627,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-17 15:02:15+00:00
hr163,hsju00,Judiciary Committee,House,Standing,Referred to,2023-01-09 22:21:35+00:00
hr1630,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-17 15:06:35+00:00
hr1630,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-17 15:06:30+00:00
hr1631,hsju00,Judiciary Committee,House,Standing,Markup by,2024-04-17 20:35:29+00:00
hr1631,hsju00,Judiciary Committee,House,Standing,Markup by,2024-04-16 16:54:30+00:00
hr1631,hsju00,Judiciary Committee,House,Standing,Unknown,2023-07-19 16:27:39+00:00
hr1631,hsju00,Judiciary Committee,House,Standing,Markup by,2023-07-19 16:27:39+00:00
hr1631,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-17 15:01:00+00:00
hr1634,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-17 15:05:05+00:00
hr1636,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-03-17 15:03:40+00:00
hr1637,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-17 15:02:30+00:00
hr1638,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-17 15:03:20+00:00
hr164,hsfa00,Foreign Affairs Committee,House,Standing,Referred to,2023-01-09 22:25:05+00:00
hr164,hsap00,Appropriations Committee,House,Standing,Referred to,2023-01-09 22:25:00+00:00
hr1640,sseg00,Energy and Natural Resources Committee,Senate,Standing,Referred to,2023-06-15 17:33:58+00:00
hr1641,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-03-17 15:02:20+00:00
hr1643,hsfa00,Foreign Affairs Committee,House,Standing,Referred to,2023-03-17 15:00:25+00:00
hr1643,hsha00,Committee on House Administration,House,Standing,Referred to,2023-03-17 15:00:20+00:00
hr1643,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-17 15:00:15+00:00
hr1643,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-17 15:00:10+00:00
hr1644,hssm00,Small Business Committee,House,Standing,Reported by,2023-06-05 22:29:30+00:00
hr1644,hssm00,Small Business Committee,House,Standing,Markup by,2023-05-23 14:31:07+00:00
hr1644,hssm00,Small Business Committee,House,Standing,Referred to,2023-03-17 15:01:45+00:00
hr1649,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-17 15:01:20+00:00
